design	1.683772655000613		95	43		2407	178
employees	2.8134637316402498		10	5		1976	96
linguistic	1.1318252115074197		2966	294		158	30
semantics	1.4163927788908546		2397	231		313	35
f3d	4.66432029233444		0	0		977	28
fy	5.471675214392045		5	3		1558	13
title	2.0204641025597154		36	18		1803	157
est	2.4604479589687904		292	65		5627	64
german	1.8134637316402495		1678	151		306	51
security	2.342392197447078		5	4		3001	136
rights	2.0538226995061466		12	10		2150	161
icelandic	3.301750212949732		845	66		9	6
district	2.743754759828845		6	4		1533	102
irish	4.3423921974470785		1265	26		16	9
neg	2.82781902461732		769	86		91	14
possessive	2.9018196060610966		1284	87		24	8
schedule	2.7712354962509522		2	2		1291	102
ivan	3.342392197447078		554	59		14	11
bulgarian	4.427281095033591		451	29		31	4
conjoint	7.471675214392045		1	1		1273	3
null	2.0454104596899465		1049	141		241	31
unaccusative	3.471675214392045		599	64		0	0
causatives	3.471675214392045		567	63		1	1
cp	2.186272995529796		1501	123		443	33
complement	1.696888154790871		1641	173		91	46
energy	2.44930740136359		28	11		1961	119
parties	2.311803877613655		16	9		1825	134
ahmet	6.149747119504682		123	10		0	0
regulations	2.4382522128545943		3	3		1383	128
immigration	5.149747119504682		1	1		428	19
power	1.4327562250997423		90	41		2713	222
mood	3.1497471195046827		968	61		75	19
experiencer	3.44930740136359		807	62		14	3
die	2.062284278254343		992	88		8108	82
absolutive	3.799249872420549		634	50		1	1
program	1.0836579290469095		353	132		3509	203
spec	2.3017502129497323		802	117		253	27
mixin	9.471675214392045		0	0		188	1
nps	2.2428565238961635		1372	142		23	8
plan	1.9878594371277882		28	16		2223	163
par	2.0538226995061466		218	77		4890	94
participle	2.842318594312435		922	95		11	4
authority	2.062284278254343		63	11		2183	159
sexe	8.471675214392045		0	0		1068	2
cf	1.405586023934272		2343	204		687	64
une	3.6643202923344402		194	31		3553	25
cost	1.7369655941662063		87	38		2666	175
courts	3.079357791613284		2	1		1303	83
amendment	3.012243595754747		3	2		899	86
dat	2.564784618783526		1177	100		247	20
tp	2.651496251976857		852	95		109	18
binding	1.5890321650302033		1663	154		277	82
telic	4.384212373141705		302	34		0	0
reflexives	3.8278190246173196		863	50		0	0
national	1.427281095033591		112	52		3053	212
ip	2.195550809117807		1034	121		354	34
ject	3.1318252115074197		1344	43		291	38
focus	1.0538226995061466		2341	199		585	143
und	2.540937876829158		571	71		4753	51
marker	1.879218177123964		1400	164		116	29
specifier	2.564784618783526		939	119		2	1
hasan	6.301750212949732		101	7		6	2
immigrants	5.384212373141706		11	4		337	13
chinese	3.045410459689947		636	63		110	23
economic	2.252506693929883		21	16		2183	133
le	1.7505760256848593		1311	112		10079	99
biology	3.6643202923344402		16	6		356	50
module	3.4272810950335915		56	19		828	47
auxiliary	2.195550809117807		1097	127		79	28
date	1.5468627107862636		85	35		2458	208
medical	2.4829905276198785		13	6		1694	121
speakers	1.7167877122285757		1982	181		179	35
constraint	1.7712354962509522		1508	163		114	45
software	2.55281197711745		16	11		1278	110
business	1.9402937538757323		38	17		2014	168
report	1.2332704750669654		231	82		3274	220
subj	3.012243595754747		759	80		1138	8
amended	2.9018196060610966		2	2		1402	93
juan	3.2622218487630943		373	57		52	17
cfr	3.948113258335032		2	2		1170	44
prefixes	3.3842123731417053		711	61		42	7
cemetery	6.0122435957547475		1	1		164	10
pour	3.342392197447078		71	37		3260	33
pred	3.9798221180623696		417	38		23	7
het	4.66432029233444		124	23		303	5
language	0.44653565211353624		7325	320		2013	201
markers	2.3842123731417053		1183	112		60	24
adverbs	2.6643202923344402		749	111		5	1
city	1.886712713670888		189	56		2015	136
structure	0.44930740136358993		5938	314		2085	206
dut	7.149747119504682		64	1		195	4
loi	6.149747119504682		3	2		1450	8
position	0.4660506651981663		5629	295		2578	219
determiner	3.079357791613284		676	79		11	5
marking	1.6578940231750074		1609	187		160	38
root	1.7505760256848593		1284	139		367	72
adjective	2.7302082279908975		804	95		44	12
erg	3.690315500867385		634	46		19	9
intransitive	2.576857451084101		963	111		34	8
definite	2.2142873716993927		904	116		102	37
discourse	1.9878594371277882		1295	141		212	38
suu	7.471675214392045		86	2		6	2
file	2.2622218487630947		103	16		2305	132
