Cluster: NL	Non-linguistic cluster
eme	0.00884260319451808
applicable	0.008840269429146745
construction	0.008821128115075438
hierarchy	0.008817551419341346
phenomenon	0.00880586960506127
ete	0.008793514074940187
pd	0.008779291945607198
assumption	0.008778209300218649
lf	0.008763062263942818
discussed	0.00874220831118227
fait	0.008729032387467901
substituting	0.008725555663820708
einer	0.008703956804088671
interpretation	0.008694937672556248
vgl	0.008680096806203937
sym	0.008678571523490646
ip	0.008676535992759462
universal	0.008602827968783687
indirect	0.008559878778309066
propositional	0.008531822803296688
expressed	0.008510764883073207
employee	0.008479714924666447
latin	0.008420405720178162
karl	0.008335425516280257
realized	0.008259427353211307
possibility	0.008257617001078165
paid	0.00824611350335396
acquisition	0.008236983106607929
leave	0.008216632170675864
ba	0.008135414717269593
striking	0.008114716595811656
obligatory	0.008103392016999549
reasonable	0.008030190859055177
rim	0.00803002321854888
epistemic	0.00802362812851314
topic	0.00802343443762762
aspect	0.007933900800026957
paradigm	0.007916210089343186
sous	0.007910557379050125
administrative	0.007843051773916726
ach	0.007815125769034321
einem	0.007811567074624998
provision	0.0077956895951116455
def	0.0077480429270542096
chinese	0.007734080988469049
noms	0.007730385901517553
mary	0.007672694947162519
girl	0.0076631590881506015
appears	0.0076311365871693055
nest	0.007586737999961533
han	0.007577596221124274
argues	0.007560024338958198
banks	0.007542326006011163
embedded	0.007526511692988998
inverse	0.007521734913698183
sentences	0.007516601930961088
ligne	0.007491700391564268
inspection	0.007482349891456876
rapport	0.007463746287364895
lord	0.007437863846492084
satz	0.0074305907841977535
owner	0.007425574168552765
compliance	0.00738289987901979
positions	0.0073228458983618724
dog	0.0073115385810057516
predicate	0.007279861626709531
judgment	0.007267692956742969
ministers	0.007122208135633527
waters	0.007112870647004908
distinct	0.007102962250032689
suit	0.007062454985824555
checking	0.007022202342394997
faith	0.007005562982357154
dissertation	0.00691791028153401
passive	0.006913075737558139
diese	0.006910991795115436
eines	0.006883206732078624
consent	0.006828951318805165
partie	0.006794963616889882
thinks	0.006793662109132235
etre	0.0067684393765560635
distinction	0.006687860876609576
accordance	0.0066852215574995
leur	0.006683469952966779
ke	0.006667969876867837
proposition	0.006565493873069724
categories	0.006564081332420965
indonesian	0.006553760210184839
selon	0.006549721040955713
heidelberg	0.006531510007999571
eur	0.006522166395574844
ris	0.006433492077597087
newell	0.006411680382128339
similarity	0.00637216524568888
theme	0.0063597705206591805
binding	0.006353133659502379
anderson	0.006341733748668048
semantic	0.0063282732227117715
greek	0.0063055091757302905
argue	0.006285623445038382
ont	0.006281803916051849
voir	0.006261456831798061
japanese	0.006241104923077055
ainsi	0.006234921480427382
tp	0.006206778799625376
variation	0.00603078472223275
argued	0.006025138178603276
trois	0.005995933534873975
vom	0.005980438202171162
parliament	0.00596377996197129
forme	0.0059496373109319545
marriage	0.0059091462127497454
prsent	0.0058926752757407904
trait	0.0058908985010105615
autre	0.005839960884377899
clauses	0.005779212047868985
bis	0.005745563683058737
aussi	0.005656408391561062
sale	0.005569812335326465
provisions	0.00553924110584868
constitution	0.00553249600637988
trace	0.005502506514156274
accent	0.005498046349672483
repr	0.005460123602412669
marker	0.005435450684200683
financing	0.0053287136320967435
pl	0.0053229720336275795
liber	0.005314567672933051
definite	0.005246453646807533
ordering	0.005241968558005173
juan	0.005237151258448084
deontic	0.005211108283520068
exemple	0.005182974284486606
authorized	0.005176957607449978
involve	0.005147126722663125
verb	0.005117512355113606
progressive	0.0051012806774539685
optimality	0.005092550997926407
filed	0.005067196413710047
nombre	0.005050958854485259
speakers	0.005018967662200557
dieser	0.004977122695498848
peuvent	0.004977107632865732
tte	0.004962087004288596
projection	0.004932465080379557
constitutional	0.004927885004010846
verbal	0.004906326104736176
holy	0.004811834455351973
discrimination	0.004809815062892021
contexts	0.004784486141083624
checked	0.004732397757585464
phrases	0.0047210285935608285
marked	0.004720054977493102
nom	0.004695686298182791
raising	0.004684933577077026
mu	0.0046774991451559575
donn	0.004670531377943899
nominal	0.004670520891220264
spanish	0.004665218446512492
encodings	0.004658734249260781
christ	0.0046427987068982735
participant	0.004632084912500484
entitled	0.004592362750616104
markers	0.0045862662982360065
proposal	0.0045862353099860795
pf	0.004560003264612972
acc	0.004521587943453812
linguistic	0.004446624893387113
tense	0.004397453989399066
lexicon	0.004388748007457762
obligations	0.004374607254406532
dutch	0.004362678579416124
anne	0.0043244715910546
inherent	0.004311743034758353
avons	0.0042944297399735605
maria	0.0042504675323097535
yesterday	0.004181485523720131
supreme	0.004175322837436483
np	0.004134299450317839
gods	0.004088639332412504
ambiguity	0.004085576145962859
prefix	0.004069783115201645
noun	0.004052229619255459
kin	0.0040076422668009004
interpreted	0.00394624349740307
vessel	0.0039273038149712875
jean	0.0038929009533552536
sowie	0.0038822216305763545
readings	0.003867024290409231
dp	0.0037887798202178636
bought	0.0037214039860896534
jurisdiction	0.003717125343064657
jon	0.003675199332641878
heads	0.0036617660985302685
syntactic	0.0036253762436607518
complement	0.003604109811883917
illustrated	0.0035839628122082265
wh	0.0035627574279995925
v2	0.0035303249096103654
sami	0.0035222726186288278
paradigms	0.0035150115891205407
relief	0.0034740017607408744
testimony	0.0034640281528357233
tan	0.00344767214486309
learners	0.0034438457275187814
bulgarian	0.003388174861521024
canonical	0.0033724631373619573
xp	0.0033197091975143995
bisherigen	0.00328927407678331
transitive	0.003259607497730579
args	0.0032533787306735337
erg	0.0032366337532759577
indicative	0.00323408992482419
lit	0.0032096793344058854
deuxime	0.0031975029140352764
verbe	0.003178875831985995
duties	0.003171497142228475
auxiliary	0.0031581101277293783
cfr	0.003127900013271091
obligation	0.003107406967301235
morphological	0.00310501907665236
settlement	0.00309927117833
premire	0.0030881917027615635
courts	0.0030593410860163275
generalization	0.0030560213489361316
pres	0.00305431937452298
negation	0.0030366734770842464
arabic	0.0030270507815080344
prosodic	0.0030124526605212532
asymmetry	0.0029928043636308806
coercion	0.0029919007960968365
stem	0.002990194155898946
inversion	0.002963221765756252
inanimate	0.002952322920201841
mood	0.002951085199397527
kong	0.002927018646368786
sujet	0.0029137903737260825
asp	0.0028983177449117257
1sg	0.0028808213790315986
merge	0.0028455282055451603
zoning	0.0028323612907584952
cir	0.0028312109517854966
3sg	0.002811986716632439
restriction	0.0028116463025094182
reprsentation	0.0028054847207449485
linguistics	0.002717136822934417
verbs	0.002702286938662993
amendment	0.002693032206845199
ko	0.0026710717502562366
likes	0.0026632312307744207
